x,y,label,sublabel,set
0.2033188812749255,0.1335148365275683,1,1,0
0.19607685551085746,0.11307277117499108,1,1,0
0.21459148272550796,0.12537389605205201,1,1,0
0.1785053240894051,0.08707205853668747,1,1,0
0.2026728492075713,0.13471878277913016,1,1,0
0.19054482986208324,0.1211571427668875,1,1,0
0.21525942161624836,0.10984122849936145,1,1,0
0.2625159163754921,0.09540685758405648,1,2,0
0.2605717933453018,0.12064827760849754,1,3,0
0.2827050837084492,0.15931490994337513,1,4,0
0.22990276364785742,0.17277588399022206,1,4,0
0.2794698073782801,0.16026306945860433,1,4,0
0.2500226489203415,0.1575843229704974,1,4,0
0.2648532689477189,0.18522626803902714,1,4,0
0.24625283675635926,0.21108518044984215,1,5,0
0.29051073320538423,0.19459526876264135,1,5,0
0.2807538882149428,0.21684992686700547,1,5,0
0.300431983987306,0.19954779527499444,1,5,0
0.2773186984444549,0.20261682034953082,1,5,0
0.275632421889938,0.21136566536063844,1,6,0
0.25741942115791405,0.1959935233392037,1,6,0
0.24563159044247398,0.2468620218911996,1,6,0
0.3074624034018527,0.1773209646669613,1,7,0
0.3094929885367462,0.1641441591320599,1,7,0
0.2998208010046944,0.19622838299379125,1,7,0
0.3128548750641067,0.17913138829413147,1,7,0
0.3042604381054288,0.1630009991610186,1,7,0
0.31205951814509275,0.18188487049531696,1,7,0
0.2903117361620105,0.18322408239152602,1,7,0
0.30260071879316375,0.14730032904151125,1,7,0
0.28492376714123824,0.18178363975216308,1,7,0
0.30843416671903673,0.12400285653444937,1,8,0
0.316237937431814,0.10943679271963144,1,8,0
0.32611669605573557,0.13407572604177043,1,8,0
0.3108472259447088,0.1289409520323369,1,8,0
0.3517153277298633,0.09703832544112034,1,9,0
0.34734993564055533,0.09149057009937116,1,9,0
0.3428578963638027,0.08858305183995635,1,9,0
0.32446492415186434,0.1125383253254202,1,9,0
0.3281912744176723,0.10330473375641232,1,9,0
0.38031818624767355,0.13180817355208332,1,10,0
0.37634902877548115,0.12263105507573527,1,10,0
0.37420758927348485,0.12324777211577756,1,10,0
0.34111214780549,0.13099940627998258,1,10,0
0.36189749459430376,0.12733340737619475,1,10,0
0.417855832398235,0.14769741490161345,1,11,0
0.37557338082925484,0.16568668450894222,1,11,0
0.40608747102539877,0.1391711594573016,1,11,0
0.40724540104058077,0.15120507771154856,1,11,0
0.45470961150889533,0.14252191684323207,1,12,0
0.4364710942129409,0.14841623348551805,1,12,0
0.44954153811739794,0.11310836809360134,1,12,0
0.4353417607246822,0.1261142846939629,1,12,0
0.448184077421416,0.14309812037882674,1,12,0
0.43854023586471397,0.1214081696305942,1,12,0
0.45571012986439985,0.125374261904451,1,12,0
0.45959016833811095,0.1120976291457383,1,12,0
0.46025306328456034,0.10931754955614482,1,12,0
0.4511148013534201,0.12218897778315496,1,12,0
0.4304032704682294,0.15954749963436687,1,13,0
0.8167646932491163,0.5645822596308631,2,1,0
0.7797508495465867,0.5851037597728344,2,2,0
0.8061646188129803,0.6034795610115553,2,2,0
0.7667400467909405,0.60254655204582,2,3,0
0.7606697561228719,0.5972876080507181,2,3,0
0.7603185861796656,0.5999962642786951,2,3,0
0.7322033673012559,0.5683608404960057,2,4,0
0.7341406868894864,0.5855754471032778,2,5,0
0.7302746561809775,0.5848973948277575,2,5,0
0.7456556465346138,0.5728221266978439,2,5,0
0.6971360607019667,0.581234521929073,2,6,0
0.6614371846576637,0.5733942014521911,2,7,0
0.680404722231292,0.5874452181548071,2,7,0
0.6686147074964773,0.5370702209195689,2,7,0
0.6759272869231308,0.5565982317312912,2,7,0
0.6466362223549273,0.5953566001453405,2,7,0
0.68319309792622,0.5985020149311917,2,7,0
0.6910565179277575,0.5641022346815207,2,7,0
0.6628127803999253,0.5775286584842478,2,7,0
0.6450626387449779,0.5537645937556908,2,7,0
0.6707453408835836,0.5728278564008863,2,7,0
0.6527804642132204,0.588107494248163,2,7,0
0.6821904873802469,0.6123566251472216,2,8,0
0.644942869713468,0.624647872129939,2,8,0
0.683048004557966,0.6391526687682572,2,8,0
0.6891663853547727,0.5893042526192368,2,8,0
0.684471764109793,0.6360451020900837,2,8,0
0.6914395505009211,0.6305274387231521,2,8,0
0.6664222142905674,0.6145562540724279,2,8,0
0.3076361027607315,0.3201446923247826,3,1,0
0.31179678649178394,0.3156040544998651,3,1,0
0.3381783433417434,0.28960237424866075,3,1,0
0.32692017020326286,0.2916033036206589,3,1,0
0.2924546947174301,0.29439896627543716,3,1,0
0.27354320531048915,0.3230294867003102,3,1,0
0.29953030342686193,0.3287324453122189,3,1,0
0.32186260661193156,0.3177171273726783,3,1,0
0.32216665410318307,0.3146710205505895,3,1,0
0.30659575562391994,0.3213225793253794,3,1,0
0.3004715134921821,0.3015873794998662,3,1,0
0.31592893195312305,0.32586583704134986,3,1,0
0.27727832304707306,0.31388902086867315,3,2,0
0.26918348884468624,0.29287748403993924,3,2,0
0.26877187594295354,0.29552429205938485,3,2,0
0.27788080934768367,0.2749272266953278,3,2,0
0.27704715516100803,0.2869786028504954,3,2,0
0.26693469586791096,0.2938178218732229,3,2,0
0.26279005261219934,0.270584328459877,3,3,0
0.2750149346482451,0.26679074679032894,3,3,0
0.24599743232533788,0.274084788654648,3,4,0
0.23891765561736372,0.24513934964116083,3,4,0
0.255964143906592,0.2199599354409328,3,5,0
0.26262696229424204,0.17999552107688122,3,6,0
0.2838339510241661,0.17130046551483022,3,6,0
0.2768394597036972,0.19997682362433922,3,6,0
0.2476642336962943,0.18384110089657327,3,6,0
0.25287459534477663,0.1886028449009493,3,6,0
0.2721449968459623,0.19665609263852202,3,6,0
